culture_id,modulation,mod_value,growth_rate,n_cells,width_mean,width_sd,length_mean,length_sd,surface_mean,surface_sd,volume_mean,volume_sd,SV_ratio_mean,SV_ratio_sd
ammonium_1,ammonium,1,0.219,63,2.7669786131684297,0.11444120130255502,14.998167120171884,2.3340098928024937,130.71243192859754,25.76270772805551,92.95639570054624,23.270534073913385,1.4151378938676857,0.059513076789579025
ammonium_2,ammonium,0.8,0.192,64,2.7433677060495367,0.0776356135217732,14.286474006206653,0.9942380439988797,123.10801556912864,8.911703797599042,86.40176171070587,7.201206064429953,1.4267285117401562,0.0415657752300933
ammonium_3,ammonium,0.6,0.214,70,2.6801360009594166,0.14590421077715077,15.42924632535274,1.1446228949519304,129.81295581371845,10.609135559865729,88.95915293353374,10.563190762907556,1.4655199123111933,0.06733701162789853
ammonium_4,ammonium,0.5,0.197,70,2.5828016741592514,0.10543416961691919,14.811932302655208,1.0767630748311154,120.19524377475756,10.186190220598673,79.361423856775275,8.700052452277031,1.519693965065482,0.06625429885843052
ammonium_5,ammonium,0.4,0.159,70,2.512515377598463,0.10922909696521847,13.230287911238245,1.0540063866570548,104.49840834523863,10.168299818474459,67.22177025348533,8.529422740912073,1.5613585341237959,0.0699549027222688
ammonium_6,ammonium,0.3,0.097,70,2.5797749190685546,0.15176450126298024,11.725664061320195,1.1836743250459452,95.1107330788417,11.952592461920993,63.23924448150221,10.740715271273316,1.5161351938270509,0.09470964788093426
ammonium_7,ammonium,0.2,0.074,70,2.494700198254912,0.17930659411114372,10.141313197495275,1.2162372876902876,79.48641964721205,11.20451857324649,51.262268181295475,9.834469071176574,1.5664206834713337,0.11326601692961653
base_medium,base medium,NA,0.273,100,3.0904195216239523,0.12828976911167952,13.647152972680948,1.4072153527074454,132.75972966237705,18.013142511305624,105.80610405276813,18.661626715659846,1.2615979163566222,0.053547131478208033
cycloheximide_1,cycloheximide,0.5,0.242,40,3.08632390254365,0.12943515929642932,13.386901210915623,0.9171378719970003,129.80418438935473,10.51165318286141,103.02191629123098,11.188197553817133,1.2645785519892039,0.05760069372019326
cycloheximide_2,cycloheximide,1,0.213,40,3.0587778459724424,0.158294189063941,13.110669485422747,1.3068943260751784,126.23942610082072,18.08785445010144,99.50681274011349,20.509204145733403,1.2783896231118017,0.06446749937808956
cycloheximide_3,cycloheximide,2,0.21,60,3.147178239970577,0.1644144752021668,13.426757360535978,1.0624426151993815,132.714603733154,11.855325220575173,107.55490863127238,12.875523389671274,1.2401876106579033,0.06813543189517354
cycloheximide_4,cycloheximide,3,0.181,40,3.254347531766193,0.2148282045502597,13.30581508384587,1.042262688082349,135.74558108291794,10.349213271902922,113.727642204603,13.535187812433495,1.2005914158959305,0.07535810076014925
cycloheximide_5,cycloheximide,4,0.17,20,3.419346707736896,0.35993970128354025,13.820990105675255,2.866534220809435,148.654576950429,37.87110596335778,132.7475660612696,44.34270400164187,1.1444059404065399,0.11626159759604746
cycloheximide_6,cycloheximide,5,0.142,14,3.75658544215303,0.551560751063964,15.004807902205442,4.498159475848655,181.45499789469244,79.10664045419422,185.21251354398387,108.68566862854692,1.0467031622371659,0.1511727680893506
glucose_1,glucose,0.2,0.223,60,3.0741718827339213,0.16294645384116965,12.567488968267668,1.2087570750603231,121.2187127521209,11.73042083299959,96.03983347646368,11.338614962410832,1.2666719789586085,0.06239016768734909
glucose_2,glucose,0.15,0.255,60,3.002738313194761,0.0967608706327026,13.594102877169576,0.988195911680052,128.20495795992792,9.891344085362656,98.65849503349757,9.010384240465886,1.3017150411101215,0.044160886193198766
glucose_3,glucose,0.1,0.169,60,2.8685141142736397,0.14458537478889028,10.995493680899049,0.9848187129116563,99.18517958521095,11.065936672635065,73.58667638995507,10.634096249797114,1.355811769577182,0.07322436295609933
glucose_4,glucose,0.0075,0.148,60,2.898240149316795,0.10712667401147813,10.802413660449524,0.9317702460509639,98.33617823776584,8.993185735921113,73.5973939430914,8.077773584826822,1.3396274079259916,0.05417551065944039
glucose_5,glucose,0.005,0.123,60,2.886233498896513,0.15740519723705718,9.323317221242569,0.7771683986299145,84.51797475113348,8.202640326217743,63.526262768884656,8.342303462894375,1.3385431289157923,0.08295239812545675
nitrogen_source_1,nitrogen source,Amm,0.262,32,2.9901848617782996,0.056270017849523846,13.548306463509903,1.148101898512935,127.23132765891488,10.476812273904383,97.63782384984148,8.081430636330019,1.3034932972652586,0.02681069448104208
nitrogen_source_2,nitrogen source,Pro,0.187,29,2.737612822855427,0.24008498620883814,12.829397302440546,1.9588828326551966,109.97985525192632,15.939128216967102,77.89802682765983,17.10965317782489,1.4290080393556253,0.11049935912232177
nitrogen_source_3,nitrogen source,Ser,0.111,19,3.151040538768108,0.10884652346449458,13.030283399927827,1.4436361945857346,128.72289836041557,12.245702571274819,103.93207025222003,9.19895431021804,1.238639135378955,0.046730876127042235
nitrogen_source_4,nitrogen source,Phe,0.096,21,2.7034838639486516,0.0756592982800505,14.922424371729829,1.5753365595973348,126.66891158959788,13.113223859868741,87.51483148539698,9.167373131071836,1.4482439480510572,0.039787866467978716
nitrogen_source_5,nitrogen source,Gly,0.06,28,3.3262006665788353,0.19626458880717262,14.247073018026523,1.7173406574714811,149.38731348449798,24.75233445989277,128.66060138831716,29.6718698360561,1.172305723166906,0.060448944308292986
nitrogen_source_6,nitrogen source,Trp,0.051,22,3.242827996802206,0.2553297064380949,11.754456145739924,1.5972784646265872,119.78038951878973,18.5656637123226,101.25031763970209,20.89828467670524,1.1980615905920327,0.09875894830034601
